ประเภทรถไฟ,เส้นทางต้นทาง,รหัสสถานีต้นทาง,สถานีต้นทาง,เส้นทางปลายทาง,รหัสสถานีปลายทาง,สถานีปลายทาง,ค่าโดยสารหน่วยบาท,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,E22,Sai Luat,62,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสุขุมวิท,E23,Kheha,62,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสีลม,W1,National Stadium,47,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสีลม,S1,Ratchadamri,47,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสีลม,S2,Sala Daeng,47,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสีลม,S3,Chong Nonsi,47,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสีลม,S4,Saint Louis,47,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสีลม,S5,Surasak,47,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสีลม,S6,Saphan Taksin,47,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสีลม,S7,Krung Thon Buri,47,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสีลม,S8,Wongwian Yai,47,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสีลม,S9,Pho Nimit,62,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสีลม,S10,Talat Phlu,62,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสีลม,S11,Wutthakat,62,,
รถไฟฟ้า ,สายสุขุมวิท,N22,Royal Thai Air Force Museum,สายสีลม,S12,Bang Wa,62 ,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,N24,Khu Khot, 0,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,N23,Yaek Kor Por Aor,0,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,N22,Royal Thai Air Force Museum,0,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,0,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,N20,Saphan Mai,0,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,N19,Sai Yud,0,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,N18,Phahon Yothin 59,0,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,N17,Wat Phra Sri Mahathat,0,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,N16,11th Infantry Regiment,0,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,N15,Bang Bua,0,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,N14,Royal Forest Department,0,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,N13,Kasetsart University,0,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,N12,Sena Nikhom,0,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,N11,Ratchayothin,0,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,N10,Phahon Yothin 24,0,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,N9,Ha Yaek Lat Phrao,0,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,N8,Mo Chit,0,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,N7,Saphan Khwai,17,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,N6,Sena Ruam*,25,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,N5,Ari,28,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,N4,Sanam Pao,32,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,N3,Victory Monument,35,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,N2,Phaya Thai,40,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,N1,Ratchathewi,43,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,CEN,Siam,47,,
รถไฟฟ้า ,สายสุขุมวิท,N21,Bhumibol Adulyadej Hospital,สายสุขุมวิท,E1,Chit Lom,47,,
